,ID,subject,subject_clean,Len
938,462,'good product',good product,2
939,463,'great mini projector',great mini projector,3
940,463,'highly recommend',highly recommend,2
941,464,'work great',work great,2
942,464, 'android',android,1
943,465,'greatly pleased',greatly pleased,2
944,466,'small',small,1
946,466,"'carry """"'",carry,1
947,466, 'easy',easy,1
948,467,'solid build',solid build,2
949,467,'great sound',great sound,2
950,468,'ibrahim mohmed',ibrahim mohmed,2
951,469,'nice',nice,1
952,470,'work good',work good,2
953,471,'good quality great picture',good quality great picture,4
954,471, 'price even well',price even well,3
955,471, 'pretty clear',pretty clear,2
956,471," '100 """"'",100,1
957,471,"'85 """"'",85,1
958,471, 'use',use,1
959,472,'awesome gadget',awesome gadget,2
960,473,'two thumb',two thumb,2
961,474,'perfect gift',perfect gift,2
962,475,'nice projector',nice projector,2
963,475, 'portable',portable,1
965,476,'worth',worth,1
966,477,'wonderfull',wonderfull,1
967,478,'great product',great product,2
968,479,'best projector',best projector,2
969,480,'thanks',thanks,1
970,481,'use',use,1
971,481, 'easy',easy,1
972,482,'personal theatre',personal theatre,2
973,482, 'go',go,1
974,483,'nice projector',nice projector,2
975,484,'great brightness',great brightness,2
976,485,'great service',great service,2
977,485, 'great product',great product,2
978,486,'work great',work great,2
979,487,'excite',excite,1
981,488,'upset',upset,1
982,488, 'unsure',unsure,1
983,488, 'people',people,1
984,489,'great buy',great buy,2
985,489, 'not',not,1
986,489, 'disappointed',disappointed,1
987,490,'work anywhere',work anywhere,2
988,491,'awesome projector',awesome projector,2
989,492,'best thing ever',best thing ever,3
990,493,'decent little projector',decent little projector,3
991,494,'amaze picture',amaze picture,2
992,495,'great picture',great picture,2
993,496,'perfect',perfect,1
994,497,'perfect product',perfect product,2
995,498,'thank',thank,1
996,499,'good',good,1
997,499, 'expensive',expensive,1
998,500,'nice little projector',nice little projector,3
999,501,'use',use,1
1000,501, 'easy',easy,1
1001,502,'portable',portable,1
1003,503,'five star',five star,2
1004,504,'great customer service',great customer service,3
1005,505,'awesome product',awesome product,2
1006,506,'good buy glad',good buy glad,3
1007,507,'daughter love',daughter love,2
1008,508,'five star',five star,2
1009,509,'darn remote',darn remote,2
1010,509, 'much',much,1
1011,509, 'love',love,1
1012,510,'excelent product',excelent product,2
1013,511,'elegant appearance',elegant appearance,2
1014,512,'excellent product',excellent product,2
1016,513,'truly amaze',truly amaze,2
1017,514,'great',great,1
1018,515,'summer long',summer long,2
1019,515, 'outdoor movie',outdoor movie,2
1021,516,'wonderful',wonderful,1
1022,517,'regret',regret,1
1023,518,'good price',good price,2
1024,518, 'quality',quality,1
1025,519,'high quality',high quality,2
1026,520,'great starter projector',great starter projector,3
1027,521,'great',great,1
1028,522,'outdoor view',outdoor view,2
1029,522, 'great',great,1
1030,523,'great',great,1
1032,524,'far',far,1
1033,524, 'best',best,1
1034,525,'product',product,1
1035,525, 'buy',buy,1
1037,526,'love',love,1
1038,526, 'future',future,1
1040,527,'iphone',iphone,1
1041,527, 'hook',hook,1
1042,528,'get',get,1
1043,529,'price point',price point,2
1044,529, 'great quality',great quality,2
1045,530,'wow',wow,1
1046,531,'great',great,1
1047,532,'amaze little projector',amaze little projector,3
1048,533,'love',love,1
1049,534,'sized movie theater',sized movie theater,3
1050,534, 'nice',nice,1
1051,535,'great customer service',great customer service,3
1052,535, 'fantastic product',fantastic product,2
1053,536,'never live without',never live without,3
1054,536, 'nebula',nebula,1
1055,537,'best purchase ever',best purchase ever,3
1056,538,'amaze little projector',amaze little projector,3
1057,539,'worth',worth,1
1058,539, 'cash',cash,1
1059,540,'five star',five star,2
1060,541,'5',5,1
1061,541, '5',5,1
1062,541, '3',3,1
1063,542,'good',good,1
1064,543,'purchase',purchase,1
1065,543, 'glad',glad,1
1066,544,'great picture',great picture,2
1067,544,'great sound',great sound,2
1068,545,'best purchase ever',best purchase ever,3
1069,546,'five star',five star,2
1070,547,'great',great,1
1071,548,'superb device',superb device,2
1072,549,'projector',projector,1
1073,549, 'love',love,1
1074,550,'outstanding tv replacement',outstanding tv replacement,3
1075,550,'small',small,1
1076,550,'responsive',responsive,1
1077,550,'wall ...',wall,1
1078,550, 'bright image',bright image,2
1079,551,'nice compact projector',nice compact projector,3
1080,551, 'travel',travel,1
1081,551, 'home',home,1
1082,552,'five star',five star,2
1083,553,'amaze',amaze,1
1084,554,'good',good,1
1085,555,'user friendly device',user friendly device,3
1086,556,'awesome product',awesome product,2
1087,557,'pas',pas,1
1088,557, 'good',good,1
1089,558,'nice product',nice product,2
1090,559,'feliz con la compra',feliz con la compra,4
1091,560,'beautiful',beautiful,1
1092,560,'well worth',well worth,2
1093,561,'thing',thing,1
1094,561, 'love',love,1
1095,562,'sale service',sale service,2
1096,562, 'impressive',impressive,1
1097,563,'amaze customer service',amaze customer service,3
1098,564,'great value',great value,2
1099,564, 'money',money,1
1100,565,'great purchase',great purchase,2
1102,566,'satisfied',satisfied,1
1103,567,'theater anywhere',theater anywhere,2
1104,568,'satisfied',satisfied,1
1105,568, 'product',product,1
1106,569,'nice portable entrrtainment',nice portable entrrtainment,3
1107,570,'screen size',screen size,2
